0,1,2,3,4,5,6
Profit & Loss account of HCL Technologies (in Rs. Cr.),Jun 15,Jun 14,Jun 13,Jun 12,Jun 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],17153.44,16497.37,12517.82,8907.22,6794.48,
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
Revenue From Operations [Net],17153.44,16497.37,12517.82,8907.22,6794.48,
Total Operating Revenues,17153.44,16497.37,12517.82,8907.22,6794.48,
Other Income,1199.50,659.12,378.84,300.86,166.27,
Total Revenue,18352.94,17156.49,12896.66,9208.08,6960.75,
EXPENSES,,,,,,
Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
Purchase Of Stock-In Trade,363.76,345.37,251.66,180.51,274.79,
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-66.23,64.75,7.83,25.85,-109.48,
Employee Benefit Expenses,5924.62,5123.95,4628.61,3923.06,3259.09,
Finance Costs,60.64,81.65,76.46,97.27,101.39,
Depreciation And Amortisation Expenses,299.92,490.70,441.91,353.07,291.37,
Other Expenses,4071.69,3652.41,3038.99,2267.58,1853.71,
Total Expenses,10654.40,9758.83,8445.46,6847.34,5670.87,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",7698.54,7397.66,4451.20,2360.74,1289.88,
Exceptional Items,0.00,0.00,93.54,0.00,0.00,
Profit/Loss Before Tax,7698.54,7397.66,4544.74,2360.74,1289.88,
Tax Expenses-Continued Operations,,,,,,
Current Tax,1610.45,1555.74,924.55,416.20,130.27,
Less: MAT Credit Entitlement,310.43,115.91,14.43,0.00,0.00,
Deferred Tax,52.57,-26.79,-70.10,-5.88,-38.67,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,1352.59,1413.04,840.02,410.32,91.60,
Profit/Loss After Tax And Before ExtraOrdinary Items,6345.95,5984.62,3704.72,1950.42,1198.28,
Profit/Loss From Continuing Operations,6345.95,5984.62,3704.72,1950.42,1198.28,
Profit/Loss For The Period,6345.95,5984.62,3704.72,1950.42,1198.28,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),45.00,85.66,53.32,28.00,18.00,
Diluted EPS (Rs.),45.00,84.51,52.45,28.00,17.00,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,2385.59,700.27,835.36,830.58,514.49,
Tax On Dividend,439.27,113.39,139.82,134.74,84.39,
Equity Dividend Rate (%),1500.00,500.00,600.00,600.00,375.00,
