0,1,2,3,4,5,6
Profit & Loss account of HCL Technologies (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,9 mths,
INCOME,,,,,,
Revenue From Operations [Gross],32606.00,26012.00,22073.00,19318.00,13434.64,
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
Revenue From Operations [Net],32606.00,26012.00,22073.00,19318.00,13434.64,
Total Operating Revenues,32606.00,26012.00,22073.00,19318.00,13434.64,
Other Income,587.00,805.00,702.00,956.00,968.42,
Total Revenue,33193.00,26817.00,22775.00,20274.00,14403.06,
EXPENSES,,,,,,
Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
Purchase Of Stock-In Trade,144.00,142.00,138.00,124.00,162.66,
Operating And Direct Expenses,7207.00,4901.00,2918.00,2219.00,0.00,
"Changes In Inventories Of FG,WIP And Stock-In Trade",4.00,22.00,50.00,39.00,-46.79,
Employee Benefit Expenses,9916.00,8079.00,7365.00,6844.00,4866.92,
Finance Costs,238.00,16.00,23.00,55.00,45.82,
Depreciation And Amortisation Expenses,1952.00,1276.00,893.00,478.00,276.89,
Other Expenses,2555.00,2450.00,2263.00,2239.00,3316.01,
Total Expenses,22016.00,16886.00,13650.00,11998.00,8621.51,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",11177.00,9931.00,9125.00,8276.00,5781.55,
Exceptional Items,0.00,0.00,0.00,0.00,0.00,
Profit/Loss Before Tax,11177.00,9931.00,9125.00,8276.00,5781.55,
Tax Expenses-Continued Operations,,,,,,
Current Tax,1965.00,2354.00,1987.00,1537.00,1269.60,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,243.00,-608.00,-224.00,-134.00,-207.13,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,2208.00,1746.00,1763.00,1403.00,1062.47,
Profit/Loss After Tax And Before ExtraOrdinary Items,8969.00,8185.00,7362.00,6873.00,4719.08,
Profit/Loss From Continuing Operations,8969.00,8185.00,7362.00,6873.00,4719.08,
Profit/Loss For The Period,8969.00,8185.00,7362.00,6873.00,4719.08,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),33.06,59.69,52.54,48.18,33.52,
Diluted EPS (Rs.),33.05,59.66,52.54,48.13,33.43,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,1357.00,1099.00,1692.00,4069.00,2697.59,
Tax On Dividend,268.00,222.00,340.00,0.00,0.00,
Equity Dividend Rate (%),500.00,400.00,600.00,1200.00,800.00,
