0,1,2,3,4,5,6
Cash Flow of Axis Bank (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,34346.58,33060.07,16905.85,17382.55,8805.85,
Net CashFlow From Operating Activities,49412.20,6460.68,26902.11,33951.27,13582.64,
Net Cash Used In Investing Activities,-52008.75,-9257.97,-33022.01,-27351.63,-54106.80,
Net Cash Used From Financing Activities,-12288.45,10760.94,1239.33,42537.76,5058.63,
Foreign Exchange Gains / Losses,162.71,79.92,304.24,119.92,-72.93,
Net Inc/Dec In Cash And Cash Equivalents,-14722.29,8043.58,-4576.32,49257.31,-35538.46,
Cash And Cash Equivalents Begin of Year,114454.39,106410.81,110987.13,61729.82,97268.28,
Cash And Cash Equivalents End Of Year,99732.10,114454.39,106410.81,110987.13,61729.82,
