0,1,2,3,4,5,6
Cash Flow of Axis Bank (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,11056.83,9348.63,7552.69,6287.84,5135.66,
Net CashFlow From Operating Activities,-12922.02,16702.56,2719.04,-9826.93,11425.07,
Net Cash Used In Investing Activities,-7989.65,-14247.48,-11160.18,-5118.58,-13985.33,
Net Cash Used From Financing Activities,28846.00,5490.15,14774.60,7270.37,8769.69,
Foreign Exchange Gains / Losses,-73.99,-141.49,167.58,200.39,-4.68,
Net Inc/Dec In Cash And Cash Equivalents,7860.34,7803.73,6501.04,-7474.74,6204.75,
Cash And Cash Equivalents Begin of Year,28238.69,20434.96,13933.92,21408.66,15203.91,
Cash And Cash Equivalents End Of Year,36099.03,28238.69,20434.96,13933.92,21408.66,
