0,1,2,3,4,5,6
Cash Flow of Maruti Suzuki India (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,19183.20,17040.40,10159.10,4582.30,5159.40,
Net CashFlow From Operating Activities,14012.40,15167.00,9228.00,1791.20,8838.80,
Net Cash Used In Investing Activities,-10241.50,-10682.80,-8018.20,-189.00,-7283.90,
Net Cash Used From Financing Activities,-4148.60,-4061.90,-1208.40,-1602.50,-1540.80,
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,-377.70,422.30,1.40,-0.30,14.10,
Cash And Cash Equivalents Begin of Year,455.70,33.40,32.00,32.30,18.20,
Cash And Cash Equivalents End Of Year,78.00,455.70,33.40,32.00,32.30,
