0,1,2,3,4,5,6
Cash Flow of Maruti Suzuki India (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,4868.20,3658.50,2991.00,2146.20,3108.80,
Net CashFlow From Operating Activities,6410.60,4903.50,4301.10,2229.40,2819.40,
Net Cash Used In Investing Activities,-4499.90,-4892.90,-3491.00,-2918.30,343.00,
Net Cash Used From Financing Activities,-1962.10,-65.90,-966.30,616.50,-752.10,
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,105.10,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,-51.40,-55.30,-51.10,-72.40,2410.30,
Cash And Cash Equivalents Begin of Year,69.70,125.00,176.10,2508.50,98.20,
Cash And Cash Equivalents End Of Year,18.30,69.70,125.00,2436.10,2508.50,
