0,1,2,3,4,5,6
Profit & Loss account of Wipro (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],50387.70,48029.80,44710.00,45639.60,44680.80,
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
Revenue From Operations [Net],50387.70,48029.80,44710.00,45639.60,44680.80,
Total Operating Revenues,50407.00,48123.80,44710.00,46047.80,44680.80,
Other Income,2476.60,2568.60,2479.60,2645.90,2710.60,
Total Revenue,52883.60,50692.40,47189.60,48693.70,47391.40,
EXPENSES,,,,,,
Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.20,
Purchase Of Stock-In Trade,798.30,1142.00,1469.60,2186.90,2656.00,
Operating And Direct Expenses,12378.40,12505.10,0.00,0.00,0.00,
"Changes In Inventories Of FG,WIP And Stock-In Trade",159.90,-55.30,57.70,164.00,-53.10,
Employee Benefit Expenses,26171.80,23808.50,21756.20,21854.40,21267.10,
Finance Costs,535.20,524.90,384.30,468.00,549.90,
Depreciation And Amortisation Expenses,1141.10,934.30,1014.80,1047.70,875.40,
Other Expenses,691.20,1962.40,12472.70,12285.60,11501.70,
Total Expenses,41875.90,40821.90,37155.30,38006.60,36797.20,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",11007.70,9870.50,10034.30,10687.10,10594.20,
Exceptional Items,0.00,0.00,0.00,0.00,0.00,
Profit/Loss Before Tax,11007.70,9870.50,10034.30,10687.10,10594.20,
Tax Expenses-Continued Operations,,,,,,
Current Tax,2206.70,2272.50,2434.50,2430.40,2452.30,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,120.30,-16.00,-123.00,95.00,-58.60,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,2327.00,2256.50,2311.50,2525.40,2393.70,
Profit/Loss After Tax And Before ExtraOrdinary Items,8680.70,7614.00,7722.80,8161.70,8200.50,
Profit/Loss From Continuing Operations,8680.70,7614.00,7722.80,8161.70,8200.50,
Profit/Loss For The Period,8680.70,7614.00,7722.80,8161.70,8200.50,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),14.88,12.67,16.26,16.80,33.38,
Diluted EPS (Rs.),14.84,12.67,16.23,16.75,33.31,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
Indigenous Stores And Spares,1142.70,0.00,0.00,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,688.70,545.40,452.50,729.10,3567.20,
Tax On Dividend,0.00,0.00,92.10,148.50,0.00,
Equity Dividend Rate (%),50.00,50.00,50.00,100.00,300.00,
