0,1,2,3,4,5,6
Cash Flow of Wipro (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,10792.40,9118.60,9176.70,12135.30,10060.90,
Net CashFlow From Operating Activities,13154.70,14215.90,11191.60,7240.50,12727.70,
Net Cash Used In Investing Activities,-7193.50,2237.00,-4761.60,-12611.10,-1275.00,
Net Cash Used From Financing Activities,-5415.20,-17158.70,-6803.60,494.70,-12105.70,
Foreign Exchange Gains / Losses,-29.20,-30.60,2.50,-9.20,-7.80,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,516.80,-736.40,-371.10,-4885.10,-660.80,
Cash And Cash Equivalents Begin of Year,3790.60,4527.00,4898.10,9783.20,10444.00,
Cash And Cash Equivalents End Of Year,4307.40,3790.60,4527.00,4898.10,9783.20,
