0,1,2,3,4,5,6
Cash Flow of Wipro (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,8680.70,7614.00,7722.80,8161.70,8200.50,
Net CashFlow From Operating Activities,9068.10,10210.10,6470.90,7370.70,6686.70,
Net Cash Used In Investing Activities,3202.70,-370.60,5002.30,-7890.80,-9805.00,
Net Cash Used From Financing Activities,-12233.00,-1395.10,-12918.40,-4367.60,-3489.70,
Foreign Exchange Gains / Losses,16.30,3.00,5.20,-93.20,31.30,
Adjustments On Amalgamation Merger Demerger Others,0.00,20.30,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,54.10,8467.70,-1440.00,-4980.90,-6576.70,
Cash And Cash Equivalents Begin of Year,10389.90,1922.20,3362.20,8343.10,14919.80,
Cash And Cash Equivalents End Of Year,10444.00,10389.90,1922.20,3362.20,8343.10,
