0,1,2,3,4,5,6
Cash Flow of Kotak Mahindra Bank (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,5947.18,4865.33,4084.30,3411.50,2089.78,
Net CashFlow From Operating Activities,30159.43,-3387.72,-10274.92,14411.92,6133.72,
Net Cash Used In Investing Activities,-7454.06,798.11,-2515.50,-2971.84,-6363.01,
Net Cash Used From Financing Activities,5882.91,7633.07,9837.22,256.52,-1463.91,
Foreign Exchange Gains / Losses,28.47,11.97,1.29,-4.30,0.00,
Net Inc/Dec In Cash And Cash Equivalents,28616.76,5055.43,-2951.90,11692.29,-1693.19,
Cash And Cash Equivalents Begin of Year,24675.54,19620.11,22572.01,10879.72,12572.91,
Cash And Cash Equivalents End Of Year,53292.30,24675.54,19620.11,22572.01,10879.72,
