0,1,2,3,4,5,6
Cash Flow of Kotak Mahindra Bank (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,1865.98,1502.52,1360.72,1085.05,818.18,
Net CashFlow From Operating Activities,5121.93,9001.63,-1405.46,-3922.92,-1474.47,
Net Cash Used In Investing Activities,-4112.53,-549.06,-1478.16,-841.95,-78.99,
Net Cash Used From Financing Activities,-726.93,-6161.84,3938.23,4928.44,1724.19,
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,282.47,2290.73,1054.61,163.57,170.72,
Cash And Cash Equivalents Begin of Year,5979.89,3689.16,2634.55,2470.98,2300.26,
Cash And Cash Equivalents End Of Year,6262.36,5979.89,3689.16,2634.55,2470.98,
