0,1,2,3,4,5,6
Cash Flow of UltraTech Cement (in Rs. Cr.),Mar 10,Mar 09,Mar 08,Mar 07,Mar 06,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,1588.16,1361.46,1507.01,1166.19,285.59,
Net CashFlow From Operating Activities,1571.93,1457.57,1375.26,1113.09,551.63,
Net Cash Used In Investing Activities,-851.66,-1645.43,-1441.79,-1046.25,-357.24,
Net Cash Used From Financing Activities,-741.03,191.66,77.63,-38.84,-191.02,
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,-20.76,3.80,11.10,27.99,3.37,
Cash And Cash Equivalents Begin of Year,104.49,100.69,89.59,61.60,58.23,
Cash And Cash Equivalents End Of Year,83.73,104.49,100.69,89.59,61.60,
