0,1,2,3,4,5,6
Cash Flow of UltraTech Cement (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,7697.01,9315.98,7246.37,8293.09,7896.07,
Net CashFlow From Operating Activities,9576.49,10898.79,9348.18,8669.66,11551.00,
Net Cash Used In Investing Activities,-15450.04,-7830.00,-6753.57,789.27,-8986.53,
Net Cash Used From Financing Activities,5566.31,-2860.52,-2370.09,-9500.93,-2585.95,
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,76.76,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,-230.48,208.27,224.52,-42.00,-21.48,
Cash And Cash Equivalents Begin of Year,542.40,334.13,76.58,118.58,140.06,
Cash And Cash Equivalents End Of Year,311.92,542.40,301.10,76.58,118.58,
