0,1,2,3,4,5,6
Profit & Loss account of Titan Company (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],11824.54,10854.43,10102.74,8876.88,6521.66,
Less: Excise/Sevice Tax/Other Levies,33.50,39.35,93.69,132.48,49.97,
Revenue From Operations [Net],11791.04,10815.08,10009.05,8744.40,6471.69,
Total Operating Revenues,11903.21,10915.79,10112.67,8838.38,6520.90,
Other Income,70.58,120.19,100.77,94.11,56.08,
Total Revenue,11973.79,11035.98,10213.44,8932.49,6576.97,
EXPENSES,,,,,,
Cost Of Materials Consumed,7833.99,6558.78,6772.92,6145.08,4344.88,
Purchase Of Stock-In Trade,1123.94,1591.42,1555.10,1150.88,849.58,
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-204.32,-99.57,-812.88,-751.85,-500.28,
Employee Benefit Expenses,625.65,534.49,484.53,392.34,365.13,
Finance Costs,80.66,87.11,50.64,43.72,34.52,
Depreciation And Amortisation Expenses,87.39,65.59,54.49,44.90,34.48,
Other Expenses,1370.59,1282.23,1102.39,1068.99,849.66,
Total Expenses,10917.90,10020.05,9207.17,8094.05,5977.97,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1055.89,1015.93,1006.27,838.44,599.00,
Exceptional Items,0.00,0.00,0.00,0.00,0.00,
Profit/Loss Before Tax,1055.89,1015.93,1006.27,838.44,599.00,
Tax Expenses-Continued Operations,,,,,,
Current Tax,241.00,263.00,285.35,238.90,168.60,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,-8.18,-1.31,-4.26,-5.29,-3.24,
Tax For Earlier Years,0.00,13.10,0.00,4.68,3.22,
Total Tax Expenses,232.82,274.79,281.09,238.28,168.59,
Profit/Loss After Tax And Before ExtraOrdinary Items,823.07,741.14,725.18,600.16,430.42,
Profit/Loss From Continuing Operations,823.07,741.14,725.18,600.16,430.42,
Profit/Loss For The Period,823.07,741.14,725.18,600.16,430.42,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),9.27,8.35,8.17,6.76,4.85,
Diluted EPS (Rs.),9.27,8.35,8.17,6.76,4.85,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,522.19,1193.65,3247.23,4227.43,3056.74,
Indigenous Raw Materials,7311.80,5365.13,3525.69,1917.65,1288.14,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,204.19,186.44,186.44,155.36,110.97,
Tax On Dividend,41.57,31.68,31.68,25.20,18.00,
Equity Dividend Rate (%),230.00,210.00,210.00,175.00,250.00,
