0,1,2,3,4,5,6
Profit & Loss account of Titan Company (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],52007.00,42965.00,35624.00,25832.00,19046.00,
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
Revenue From Operations [Net],52007.00,42965.00,35624.00,25832.00,19046.00,
Total Operating Revenues,54842.00,47114.00,38270.00,27210.00,20602.00,
Other Income,493.00,510.00,299.00,246.00,181.00,
Total Revenue,55335.00,47624.00,38569.00,27456.00,20783.00,
EXPENSES,,,,,,
Cost Of Materials Consumed,43905.00,33556.00,25085.00,20939.00,13143.00,
Purchase Of Stock-In Trade,6372.00,5535.00,5438.00,4187.00,2462.00,
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-6537.00,-2149.00,-1477.00,-4468.00,164.00,
Employee Benefit Expenses,1717.00,1503.00,1362.00,1143.00,911.00,
Finance Costs,767.00,480.00,240.00,195.00,181.00,
Depreciation And Amortisation Expenses,537.00,447.00,364.00,347.00,331.00,
Other Expenses,4093.00,3645.00,3092.00,2130.00,2221.00,
Total Expenses,50854.00,43017.00,34104.00,24473.00,19413.00,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",4481.00,4607.00,4465.00,2983.00,1370.00,
Exceptional Items,0.00,0.00,0.00,-51.00,-137.00,
Profit/Loss Before Tax,4481.00,4607.00,4465.00,2932.00,1233.00,
Tax Expenses-Continued Operations,,,,,,
Current Tax,1146.00,1072.00,1140.00,779.00,351.00,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,0.00,-9.00,-8.00,-27.00,5.00,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,1146.00,1063.00,1132.00,752.00,356.00,
Profit/Loss After Tax And Before ExtraOrdinary Items,3335.00,3544.00,3333.00,2180.00,877.00,
Profit/Loss From Continuing Operations,3335.00,3544.00,3333.00,2180.00,877.00,
Profit/Loss For The Period,3335.00,3544.00,3333.00,2180.00,877.00,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),37.60,39.94,37.54,24.56,9.88,
Diluted EPS (Rs.),37.58,39.92,37.54,24.56,9.88,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,0.00,888.00,666.00,355.00,355.00,
Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
Equity Dividend Rate (%),1100.00,1100.00,1000.00,750.00,400.00,
