0,1,2,3,4,5,6
Cash Flow of Bajaj Finserv (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,158.10,105.51,79.16,107.70,223.24,
Net CashFlow From Operating Activities,38.56,80.87,47.40,-3.45,161.15,
Net Cash Used In Investing Activities,-15.19,-51.54,-961.55,-1.22,-0.64,
Net Cash Used From Financing Activities,-27.63,-23.86,913.69,-18.04,-186.69,
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,-4.26,5.47,-0.46,-22.71,-26.18,
Cash And Cash Equivalents Begin of Year,7.39,1.92,2.38,25.25,51.43,
Cash And Cash Equivalents End Of Year,3.13,7.39,1.92,2.54,25.25,
