0,1,2,3,4,5,6
Profit & Loss account of Axis Bank (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Interest / Discount on Advances / Bills,97200.27,87106.60,64553.81,49616.58,47918.86,
Income from Investments,22928.34,20010.62,18178.73,14618.91,12558.21,
Interest on Balance with RBI and Other Inter-Bank funds,1236.22,908.27,899.01,1528.15,1037.88,
Others,1312.21,1343.14,1532.22,1613.18,2130.34,
Total Interest Earned,122677.04,109368.63,85163.77,67376.83,63645.29,
Other Income,25257.06,22441.96,16500.87,15220.55,14838.20,
Total Income,147934.10,131810.59,101664.64,82597.37,78483.49,
EXPENDITURE,,,,,,
Interest Expended,68329.22,59474.15,42218.02,34244.61,34406.17,
Payments to and Provisions for Employees,12192.79,10933.11,8760.05,7612.55,6164.01,
Depreciation,0.00,1333.75,13094.48,1008.37,948.15,
Operating Expenses (excludes Employee Cost & Depreciation),25307.16,22946.43,17801.46,14989.83,11262.98,
Total Operating Expenses,37499.95,35213.28,39655.99,23610.75,18375.15,
Provision Towards Income Tax,7973.10,7184.37,6290.88,4199.15,2489.14,
Provision Towards Deferred Tax,0.00,1014.26,1035.29,157.93,-271.79,
Other Provisions and Contingencies,7758.35,4063.09,2884.78,7359.45,16896.33,
Total Provisions and Contingencies,15731.45,12261.72,10210.95,11716.53,19113.68,
Total Expenditure,121560.62,106949.15,92084.96,69571.90,71894.99,
Net Profit / Loss for The Year,26373.48,24861.43,9579.68,13025.48,6588.50,
Net Profit / Loss After EI & Prior Year Items,26373.48,24861.43,9579.68,13025.48,6588.50,
Profit / Loss Brought Forward,0.00,44144.93,38100.66,29985.28,26190.45,
Total Profit / Loss available for Appropriations,0.00,69006.36,47680.34,43010.76,32778.96,
APPROPRIATIONS,,,,,,
Transfer To / From Statutory Reserve,0.00,6215.36,2394.92,3256.37,1647.13,
Transfer To / From Capital Reserve,0.00,139.55,67.84,441.04,848.23,
Transfer To / From Revenue And Other Reserves,0.00,0.00,0.00,0.00,0.00,
Dividend and Dividend Tax for The Previous Year,0.00,0.00,0.00,0.00,0.00,
Equity Share Dividend,0.00,307.98,307.14,0.00,0.00,
Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
Balance Carried Over To Balance Sheet,0.00,60254.06,44144.93,38100.66,29957.60,
Total Appropriations,0.00,69006.36,47680.34,43010.76,32778.96,
OTHER INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),85.28,80.67,31.17,42.48,22.15,
Diluted EPS (Rs.),84.77,80.10,31.02,42.35,22.09,
DIVIDEND PERCENTAGE,,,,,,
Equity Dividend Rate (%),0.00,50.00,50.00,50.00,0.00,
