0,1,2,3,4,5,6
Cash Flow of HCL Technologies (in Rs. Cr.),Jun 10,Jun 09,Jun 08,Jun 07,Jun 06,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,1152.82,1193.92,875.25,1177.69,653.83,
Net CashFlow From Operating Activities,739.26,587.94,1056.84,997.93,774.04,
Net Cash Used In Investing Activities,-1399.11,306.83,-148.53,-341.46,-133.33,
Net Cash Used From Financing Activities,583.38,-215.82,-602.26,-381.57,-641.79,
Foreign Exchange Gains / Losses,-2.69,0.00,0.11,0.18,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,-79.16,678.95,305.94,274.90,-1.08,
Cash And Cash Equivalents Begin of Year,144.00,686.88,380.94,106.22,107.30,
Cash And Cash Equivalents End Of Year,64.84,1365.83,686.88,380.94,106.22,
