0,1,2,3,4,5,6
Cash Flow of HCL Technologies (in Rs. Cr.),Jun 15,Jun 14,Jun 13,Jun 12,Jun 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,7698.54,7397.66,4451.20,2360.74,1289.88,
Net CashFlow From Operating Activities,5335.67,6147.22,4170.15,2160.10,1519.39,
Net Cash Used In Investing Activities,-1763.04,-4655.54,-2985.48,-1342.76,-535.03,
Net Cash Used From Financing Activities,-3360.21,-1397.67,-1175.37,-837.12,-882.58,
Foreign Exchange Gains / Losses,-20.42,-9.09,-9.78,-13.23,1.08,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,21.60,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,192.00,84.92,21.12,-33.01,102.86,
Cash And Cash Equivalents Begin of Year,240.73,155.81,134.69,167.70,64.84,
Cash And Cash Equivalents End Of Year,432.73,240.73,155.81,134.69,167.70,
