0,1,2,3,4,5,6
Cash Flow of Titan Company (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,4481.00,4607.00,4465.00,2932.00,1233.00,
Net CashFlow From Operating Activities,-170.00,2030.00,1810.00,-1126.00,4101.00,
Net Cash Used In Investing Activities,140.00,-4634.00,-1653.00,1564.00,-2744.00,
Net Cash Used From Financing Activities,1.00,2757.00,-155.00,-468.00,-1260.00,
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,-29.00,153.00,2.00,-30.00,97.00,
Cash And Cash Equivalents Begin of Year,272.00,119.00,117.00,147.00,50.00,
Cash And Cash Equivalents End Of Year,243.00,272.00,119.00,117.00,147.00,
