0,1,2,3,4,5,6
Cash Flow of Titan Company (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,2104.97,1927.37,1570.72,1033.42,870.66,
Net CashFlow From Operating Activities,-288.13,1248.99,299.24,1768.22,597.85,
Net Cash Used In Investing Activities,242.25,-911.28,-180.83,-1020.35,-181.75,
Net Cash Used From Financing Activities,-267.76,-441.83,-325.04,-153.73,-504.76,
Foreign Exchange Gains / Losses,0.05,1.73,1.26,-2.09,0.03,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,-313.59,-102.39,-205.37,592.05,-88.63,
Cash And Cash Equivalents Begin of Year,364.05,466.44,671.81,79.76,168.39,
Cash And Cash Equivalents End Of Year,50.46,364.05,466.44,671.81,79.76,
