0,1,2,3,4,5,6
Profit & Loss account of UltraTech Cement (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],40033.25,39233.87,30256.40,26886.73,26678.57,
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,893.83,3270.99,3238.35,
Revenue From Operations [Net],40033.25,39233.87,29362.57,23615.74,23440.22,
Total Operating Revenues,40649.17,39998.61,29790.10,23891.43,23708.79,
Other Income,726.58,496.86,594.70,659.95,480.66,
Total Revenue,41375.75,40495.47,30384.80,24551.38,24189.45,
EXPENSES,,,,,,
Cost Of Materials Consumed,4960.81,5039.32,3978.36,3467.82,3550.88,
Purchase Of Stock-In Trade,2262.78,1582.35,814.37,483.56,439.68,
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-362.74,62.94,-113.08,73.13,-17.81,
Employee Benefit Expenses,2336.17,2158.29,1706.24,1413.44,1343.02,
Finance Costs,1704.22,1648.44,1186.30,571.39,511.66,
Depreciation And Amortisation Expenses,2454.90,2321.20,1763.56,1267.87,1297.04,
Other Expenses,22814.15,24100.82,17559.25,13503.54,13802.77,
Total Expenses,36155.99,36889.21,26856.68,20761.74,20890.89,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",5219.76,3606.26,3528.12,3789.64,3298.56,
Exceptional Items,0.00,-113.88,-226.28,-13.69,0.00,
Profit/Loss Before Tax,5219.76,3492.38,3301.84,3775.95,3298.56,
Tax Expenses-Continued Operations,,,,,,
Current Tax,915.38,717.55,712.00,806.66,623.81,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,-1154.41,366.07,392.53,341.57,304.59,
Tax For Earlier Years,3.25,-3.69,-33.97,0.00,0.00,
Total Tax Expenses,-235.78,1079.93,1070.56,1148.23,928.40,
Profit/Loss After Tax And Before ExtraOrdinary Items,5455.54,2412.45,2231.28,2627.72,2370.16,
Profit/Loss From Continuing Operations,5455.54,2412.45,2231.28,2627.72,2370.16,
Profit/Loss For The Period,5455.54,2412.45,2231.28,2627.72,2370.16,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),189.15,84.33,18.27,95.74,86.37,
Diluted EPS (Rs.),189.10,84.31,81.25,95.70,86.32,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,380.56,347.63,274.52,260.71,293.36,
Tax On Dividend,0.00,0.00,55.89,50.28,0.00,
Equity Dividend Rate (%),130.00,115.00,105.00,100.00,95.00,
